Temp Num, Object(℃), Ambient(℃)
87, nan, 34.614
88, 34.991, 34.621
89, 35.008, 34.636
90, 35.008, 34.643
91, 35.018, 34.643
92, 35.041, 34.650
93, 35.041, 34.657
94, 35.034, 34.665
95, 35.034, 34.665
96, 35.070, 34.657
97, 35.050, 34.657
98, 35.044, 34.665
99, 35.044, 34.672
100, 35.038, 34.679
101, 35.067, 34.679
102, 35.116, 34.679
103, 35.106, 34.686
104, 35.090, 34.701
105, 35.103, 34.708
106, 35.123, 34.708
107, 35.123, 34.708
108, 35.136, 34.715
109, 35.117, 34.722
110, 35.120, 34.730
111, 35.120, 34.737
112, 35.133, 34.744
113, 35.163, 34.751
114, 35.176, 34.759
115, 35.156, 34.766
116, 35.189, 34.773
117, 35.199, 34.780
118, 35.173, 34.795
119, 35.144, 34.795
120, 35.167, 34.802
121, 35.200, 34.809
122, 35.209, 34.816
123, 35.242, 34.824
124, 35.242, 34.831
125, 35.236, 34.838
126, 35.226, 34.838
127, 35.236, 34.838
128, 35.226, 34.845
129, 35.230, 34.852
130, 35.230, 34.860
131, 35.272, 34.867
132, 35.272, 34.874
133, 35.256, 34.881
134, 35.269, 34.889
135, 35.289, 34.896
136, 35.332, 34.903
137, 35.312, 34.910
138, 35.296, 34.917
139, 35.296, 34.917
140, 35.306, 34.925
141, 35.339, 34.932
142, 35.339, 34.939
143, 35.332, 34.946
144, 35.323, 34.946
145, 35.332, 34.946
146, 35.342, 34.954
147, 35.346, 34.961
148, 35.359, 34.968
149, 35.378, 34.968
150, 35.359, 34.975
151, 35.372, 34.982
152, 35.382, 34.982
153, 35.382, 34.982
154, 35.382, 34.990
155, 35.385, 34.997
156, 35.376, 35.004
157, 35.389, 35.011
158, 35.399, 35.019
159, 35.399, 35.019
160, 35.418, 35.019
161, 35.447, 35.019
162, 35.451, 35.026
163, 35.402, 35.033
164, 35.392, 35.033
165, 35.392, 35.033
166, 35.406, 35.040
167, 35.406, 35.047
168, 35.399, 35.055
169, 35.409, 35.055
170, 35.429, 35.055
171, 35.442, 35.062
172, 35.432, 35.062
173, 35.432, 35.062
174, 35.442, 35.069
175, 35.475, 35.076
176, 35.468, 35.091
177, 35.459, 35.098
178, 35.488, 35.098
179, 35.478, 35.098
180, 35.472, 35.105
181, 35.491, 35.112
182, 35.491, 35.112
183, 35.495, 35.120
184, 35.514, 35.127
185, 35.524, 35.127
186, 35.518, 35.134
187, 35.541, 35.141
188, 35.551, 35.149
189, 35.541, 35.149
190, 35.544, 35.156
191, 35.554, 35.163
192, 35.564, 35.163
193, 35.558, 35.170
194, 35.567, 35.177
195, 35.567, 35.177
196, 35.590, 35.185
197, 35.590, 35.192
198, 35.594, 35.199
199, 35.613, 35.199
200, 35.604, 35.199
201, 35.574, 35.206
202, 35.607, 35.214
203, 35.630, 35.221
204, 35.611, 35.228
205, 35.620, 35.228
206, 35.620, 35.228
207, 35.643, 35.235
208, 35.643, 35.242
209, 35.614, 35.242
210, 35.618, 35.250
211, 35.627, 35.257
212, 35.621, 35.264
213, 35.641, 35.271
214, 35.683, 35.279
215, 35.664, 35.279
216, 35.673, 35.279
217, 35.693, 35.286
218, 35.696, 35.293
219, 35.687, 35.293
220, 35.696, 35.293
221, 35.690, 35.300
222, 35.713, 35.315
223, 35.733, 35.315
224, 35.723, 35.315
225, 35.723, 35.322
226, 35.765, 35.329
227, 35.765, 35.329
228, 35.746, 35.329
229, 35.717, 35.336
230, 35.730, 35.344
231, 35.749, 35.344
232, 35.759, 35.351
233, 35.772, 35.358
234, 35.772, 35.358
235, 35.772, 35.365
236, 35.786, 35.372
237, 35.786, 35.372
238, 35.776, 35.380
239, 35.786, 35.380
240, 35.795, 35.380
241, 35.809, 35.387
242, 35.822, 35.394
243, 35.812, 35.401
244, 35.793, 35.401
245, 35.773, 35.401
246, 35.806, 35.409
247, 35.816, 35.416
248, 35.829, 35.423
249, 35.848, 35.430
250, 35.862, 35.437
251, 35.842, 35.437
252, 35.823, 35.437
253, 35.832, 35.445
254, 35.846, 35.459
255, 35.859, 35.466
256, 35.878, 35.466
257, 35.869, 35.466
258, 35.892, 35.474
259, 35.882, 35.481
260, 35.872, 35.481
261, 35.905, 35.488
262, 35.918, 35.502
263, 35.918, 35.502
264, 35.928, 35.502
265, 35.928, 35.510
266, 35.931, 35.524
267, 35.912, 35.524
268, 35.922, 35.524
269, 35.954, 35.531
270, 35.925, 35.539
271, 35.939, 35.546
272, 35.948, 35.546
273, 35.929, 35.546
274, 35.961, 35.553
275, 35.971, 35.560
276, 35.994, 35.567
277, 35.994, 35.567
278, 35.975, 35.567
279, 35.994, 35.575
280, 36.017, 35.589
281, 35.998, 35.589
282, 35.978, 35.589
283, 35.992, 35.596
284, 36.011, 35.604
285, 36.024, 35.611
286, 36.034, 35.611
287, 36.044, 35.611
288, 36.034, 35.618
289, 36.037, 35.625
290, 36.037, 35.632
291, 36.037, 35.632
292, 36.008, 35.632
293, 36.002, 35.640
294, 36.064, 35.647
295, 36.103, 35.647
296, 36.083, 35.654
297, 36.077, 35.661
298, 36.087, 35.661
299, 36.097, 35.661
300, 36.120, 35.676
301, 36.110, 35.683
302, 36.110, 35.683
303, 36.100, 35.683
304, 36.081, 35.683
305, 36.075, 35.690
306, 36.075, 35.697
