Acc Num, Acceleration1(mg), Acceleration2(mg), Acceleration3(mg), Angular Rate1(mdps), Angular Rate2(mdps), Angular Rate3(mdps)
0, -148.7180, -117.8520, 986.1260, -1155.0000, -1120.0000, -3150.0000
1, -4.1480, -3.2940, 27.5720, -29155.0000, 5845.0000, 47425.0000
2, -12.6880, -11.4680, 83.9360, -22820.0000, -70.0000, 20125.0000
3, -20.8620, -20.2520, 139.6900, 3290.0000, -2450.0000, -6055.0000
4, -28.4260, -26.8400, 192.6380, 3570.0000, -3570.0000, -5425.0000
5, -35.5020, -32.9400, 242.4140, -4165.0000, -5915.0000, -2975.0000
6, -41.9680, -39.5280, 288.7740, 210.0000, -4515.0000, -2345.0000
7, -47.8240, -45.6280, 332.4500, 490.0000, -5040.0000, -1820.0000
8, -52.9480, -51.4840, 373.3200, -735.0000, -5670.0000, -1645.0000
9, -57.4620, -56.9740, 411.7500, -315.0000, -5705.0000, -1715.0000
10, -61.6100, -61.9760, 447.7400, -35.0000, -4900.0000, -735.0000
11, -65.3920, -66.1240, 481.5340, 280.0000, -3255.0000, -945.0000
12, -68.8080, -70.0280, 513.1320, -105.0000, -2100.0000, -595.0000
13, -71.8580, -74.4200, 542.9000, -3115.0000, -2730.0000, -140.0000
14, -74.6640, -78.5680, 570.2280, -1645.0000, -1400.0000, -455.0000
15, -77.4700, -82.2280, 596.7020, -2520.0000, -525.0000, 1365.0000
16, -80.2760, -86.7420, 621.9560, -3955.0000, -2030.0000, 945.0000
17, -82.4720, -91.1340, 644.6480, 1575.0000, -1015.0000, -2310.0000
18, -84.7900, -93.6960, 666.2420, -3710.0000, -2520.0000, -735.0000
19, -86.7420, -96.8680, 686.2500, -10150.0000, -5005.0000, 2485.0000
20, -88.0840, -101.0160, 704.4280, -7280.0000, -5425.0000, 2555.0000
21, -89.4260, -104.9200, 721.7520, -5600.0000, -5565.0000, 2345.0000
22, -90.6460, -108.4580, 738.2220, -3990.0000, -5110.0000, 140.0000
23, -91.2560, -111.6300, 753.8380, -5530.0000, -5040.0000, -1470.0000
24, -91.7440, -115.0460, 768.6000, -6755.0000, -4620.0000, -2975.0000
25, -92.2320, -118.8280, 782.3860, -4970.0000, -3010.0000, -4690.0000
26, -92.5980, -122.6100, 795.3180, -4340.0000, -1855.0000, -2275.0000
27, -93.2080, -126.8800, 807.1520, -4935.0000, -2800.0000, 1120.0000
28, -93.3300, -131.6380, 817.6440, -4130.0000, -4025.0000, 2870.0000
29, -93.2080, -136.0300, 827.2820, 1680.0000, -3465.0000, 2905.0000
30, -93.0860, -139.2020, 836.7980, 945.0000, -4305.0000, 2240.0000
31, -92.5980, -142.6180, 845.8260, -490.0000, -4515.0000, 805.0000
32, -91.9880, -145.3020, 854.4880, 4095.0000, -1890.0000, -2240.0000
33, -91.6220, -147.2540, 863.2720, -3850.0000, -2135.0000, -1960.0000
34, -91.5000, -149.9380, 871.4460, -6300.0000, -1715.0000, -1960.0000
35, -91.0120, -152.2560, 878.7660, -2765.0000, 595.0000, 700.0000
36, -90.5240, -154.6960, 885.4760, -3605.0000, 1750.0000, 3500.0000
37, -90.5240, -157.5020, 891.4540, -5390.0000, 1295.0000, 2800.0000
38, -90.2800, -161.0400, 896.4560, 840.0000, 2100.0000, 3325.0000
