Eda Num, Real(Ohm), Image(Ohm), Conductance(uS), Phase(°)
0, nan, nan, nan, nan
1, nan, nan, nan, nan
2, nan, nan, nan, nan
3, nan, nan, nan, nan
4, 34083.6094, -132449.0938, 7.31185293, -75.5690
5, 33881.6875, -132373.4062, 7.31846189, -75.6431
6, 33984.1250, -132349.6875, 7.31833029, -75.5990
7, 33906.5156, -132236.0938, 7.32526255, -75.6187
8, 110212.0625, -140898.8750, 5.59024096, -51.9672
9, 110082.5938, -140866.9062, 5.59352160, -51.9936
10, 110217.2812, -140957.9688, 5.58868599, -51.9776
11, 110080.4297, -140988.9375, 5.59055614, -52.0182
12, 33110.9609, -130514.0391, 7.42673826, -75.7646
13, 33076.2656, -130349.0703, 7.43603945, -75.7616
14, 33182.6562, -130550.9766, 7.42379141, -75.7389
15, 33385.8750, -130677.2891, 7.41429234, -75.6684
16, 32496.6719, -129987.5078, 7.46335411, -75.9638
17, 32568.9844, -129881.2266, 7.46812201, -75.9228
18, 32666.0938, -129903.4922, 7.46559954, -75.8848
19, 32640.6875, -129750.7891, 7.47420883, -75.8794
20, 33257.2812, -130414.5234, 7.43006992, -75.6938
21, 33289.8438, -130420.9922, 7.42927885, -75.6811
22, 33354.4219, -130596.4609, 7.41902781, -75.6729
23, 33330.9062, -130578.2266, 7.42032099, -75.6807
24, 33329.3047, -130677.4141, 7.41505432, -75.6917
25, 33256.2422, -130714.8828, 7.41404915, -75.7258
26, 33271.8125, -130250.4766, 7.43865681, -75.6705
27, 33311.0781, -130393.6016, 7.43045473, -75.6694
28, 33312.6094, -130545.2109, 7.42233181, -75.6847
29, 33349.6250, -130335.8047, 7.43301964, -75.6474
30, 33462.3906, -130473.2109, 7.42412996, -75.6154
31, 33220.7500, -130348.5859, 7.43409681, -75.7019
32, 33491.8125, -130427.0859, 7.42618942, -75.5984
33, 33591.5156, -130874.0859, 7.40103102, -75.6046
34, 33380.5312, -130384.8047, 7.42997408, -75.6398
35, 33189.1406, -130461.9141, 7.42846346, -75.7269
36, 33042.7266, -130561.3828, 7.42513132, -75.7977
37, 33214.4375, -130663.5703, 7.41735125, -75.7376
38, 33074.8281, -130649.1953, 7.42000771, -75.7936
39, 33096.9453, -130741.8984, 7.41476488, -75.7942
40, 33220.5469, -130712.3047, 7.41467094, -75.7402
41, 33120.4766, -130703.6172, 7.41648722, -75.7805
42, 33061.3203, -130682.6953, 7.41840172, -75.8027
43, 32998.8125, -130577.3984, 7.42486858, -75.8175
44, 33186.6172, -130893.4766, 7.40548658, -75.7731
45, 33047.9062, -130603.1016, 7.42283201, -75.7999
46, 33268.0000, -130724.0234, 7.41340351, -75.7219
47, 33137.0156, -130666.2109, 7.41825914, -75.7698
48, 33225.8594, -130980.6797, 7.40032578, -75.7660
49, 33206.2344, -131022.1016, 7.39839220, -75.7784
50, 33130.4922, -130642.3047, 7.41962242, -75.7700
51, 33175.2969, -130689.6953, 7.41648817, -75.7565
52, 32946.3047, -130523.8828, 7.42844009, -75.8336
53, 33032.1562, -130703.9766, 7.41765976, -75.8169
54, 33009.7969, -130466.6484, 7.43064451, -75.8014
55, 33061.8750, -130488.4141, 7.42877388, -75.7822
56, 32864.4688, -130403.4766, 7.43599463, -75.8548
57, 32878.0781, -130313.7109, 7.44062662, -75.8398
58, 32885.5938, -130231.8359, 7.44492245, -75.8282
59, 32938.9531, -130179.4609, 7.44701195, -75.8006
60, 32920.1250, -130597.7266, 7.42484379, -75.8520
61, 32972.9297, -130739.5859, 7.41655874, -75.8450
62, 33108.3125, -130662.7266, 7.41883278, -75.7812
63, 32957.5000, -130244.0391, 7.44329023, -75.7997
64, 32794.2500, -130694.3672, 7.42137146, -75.9140
65, 32729.9531, -130543.3516, 7.43031168, -75.9249
66, 32799.8203, -130566.5859, 7.42812872, -75.8985
67, 32773.1484, -130319.5547, 7.44173145, -75.8838
68, 33020.2031, -130493.5859, 7.42906189, -75.7999
69, 32944.5938, -130509.9922, 7.42920685, -75.8328
70, 33115.3047, -130323.0391, 7.43690348, -75.7428
71, 33031.1719, -130326.4922, 7.43786287, -75.7779
72, 32986.5312, -130279.2109, 7.44100666, -75.7914
73, 33012.5625, -130261.8828, 7.44158268, -75.7788
74, 32995.5938, -130323.8516, 7.43848801, -75.7923
75, 33176.5469, -130445.8359, 7.42949486, -75.7304
76, 33178.6562, -130322.1484, 7.43608809, -75.7165
77, 33194.0312, -130052.6016, 7.45034790, -75.6818
78, 33147.7344, -130104.1641, 7.44821072, -75.7064
79, 33146.2812, -129896.8984, 7.45938921, -75.6851
80, 33151.1875, -130075.5703, 7.44969988, -75.7019
81, 33407.3750, -130180.3984, 7.44055223, -75.6071
82, 33332.7656, -130147.6484, 7.44333601, -75.6345
83, 33396.6172, -130040.9453, 7.44818640, -75.5968
84, 33337.4297, -130101.3047, 7.44575977, -75.6276
85, 33597.0000, -129821.7422, 7.45719719, -75.4906
86, 33289.5234, -130195.4141, 7.44136620, -75.6574
87, 33528.7969, -130193.0547, 7.43820095, -75.5584
88, 33512.2656, -130174.0391, 7.43944883, -75.5631
