Bvp Num, Bvp
11925, 1739008, 84
11926, 1738054, 84
11927, 1736586, 84
11928, 1734755, 84
11929, 1733852, 84
11930, 1733241, 84
11931, 581663, 84
11932, 249003, 84
11933, 162272, 84
11934, 138940, 84
11935, 132704, 84
11936, 131014, 84
11937, 130392, 84
11938, 130378, 84
11939, 130278, 84
11940, 130245, 84
11941, 130114, 84
11942, 130153, 84
11943, 130104, 84
11944, 130112, 84
11945, 130091, 84
11946, 130037, 84
11947, 130006, 84
11948, 130037, 84
11949, 130080, 84
11950, 130119, 84
11951, 130025, 84
11952, 130046, 84
11953, 130123, 84
11954, 130030, 84
11955, 130026, 84
11956, 130045, 84
11957, 130062, 84
11958, 2052468, 84
11959, 2040313, 84
11960, 2040105, 84
11961, 2039438, 84
11962, 2038736, 84
11963, 2037506, 84
11964, 2038418, 84
11965, 2038534, 84
11966, 2038557, 84
11967, 2037977, 84
11968, 2038854, 84
11969, 2038412, 84
11970, 2082055, 84
11971, 2094086, 84
11972, 2097122, 84
11973, -2096473, 84
11974, -2095671, 84
11975, -2095561, 84
11976, -2095654, 84
11977, -2095546, 84
11978, -2095798, 84
11979, -2095699, 84
11980, -2095589, 84
11981, -2095715, 84
11982, 1671034, 84
11983, 1413159, 84
11984, 1344301, 84
11985, 1326008, 84
11986, 1321230, 84
11987, 1320075, 84
11988, 1320283, 84
11989, 1320234, 84
11990, 1319984, 84
11991, 1320573, 84
11992, 1321176, 84
11993, 1321074, 84
11994, 838162, 84
11995, 708544, 84
11996, 673870, 84
11997, 664678, 84
11998, 662321, 84
11999, 661903, 84
12000, 661747, 84
12001, 661785, 84
12002, 661668, 84
12003, 661858, 84
12004, 661850, 84
12005, 661598, 84
12006, 661376, 84
12007, -936199, 84
12008, -1364727, 84
12009, -1479450, 84
12010, -1510307, 84
12011, -1518533, 84
12012, -1521004, 84
12013, -1521711, 84
12014, -1521897, 84
12015, -1521925, 84
12016, -1521799, 84
12017, -1521577, 84
12018, -1521387, 84
12019, -565809, 84
12020, -309327, 84
12021, -240340, 84
12022, -221876, 84
12023, -216514, 84
12024, -215014, 84
12025, -214418, 84
12026, -214021, 84
12027, -213923, 84
12028, -213490, 84
12029, -213222, 84
12030, -212964, 84
12031, -212686, 84
12032, -212406, 84
